price_final,model_type,model_variant_final,ext_color_final,mileage_final,age,originality_final
80500.0,NAS 5-Speed,90 Soft Top,Red,62000.0,29,Original & Highly Original
54000.0,300TDI 5-Speed,90 Hard Top,Green,0.0,27,Original & Highly Original
54000.0,NAS,90 Soft Top,Yellow,98315.0,28,Original & Highly Original
39000.0,200TDI 5-Speed,90 Hard Top,Gray,145400.814,32,Restored-Modified
110000.0,5-Speed,110 Wagon,Red,29000.0,35,Restored-Modified
35000.0,300TDI,110 Wagon,White,71462.0,28,Restored-Modified
46000.0,2.0L Mpi 5-Speed,90 Hard Top,Green,192625.01,27,Modified
83000.0,standard,130,Gray,111000.0,27,Restored-Original
175110.0,NAS,110 Wagon,White,28000.0,30,Original & Highly Original
67000.0,300TDI 5-Speed,110 Wagon,White,32001988.0,27,Restored-Original
87200.0,200TDI 5-Speed,110 Wagon,Red,4700.0,31,Restored-Original
80000.0,200TDI 5-Speed,90 Hard Top,Gray,3000.0,32,Restored-Modified
77500.0,#209/500,110 Wagon,White,83700.0,30,Original & Highly Original
58000.0,NAS 5-Speed,90 Wagon,Green,0.0,28,Original & Highly Original
62000.0,300TDI 5-Speed,110 Wagon,Gray,1300808.0,28,Restored-Modified
52509.0,200TDI 5-Speed,90 Hard Top,Gray,169012.912,30,Restored-Original
49000.0,Land Rover Defender 90,90 Hard Top,Black,174000.0,33,Restored-Modified
46000.0,2.0L Mpi,90 Hard Top,White,12100075186.0,26,Restored-Original
57000.0,standard,110 Wagon,Green,25669.0,30,Restored-Modified
57000.0,NAS 5-Speed,90 Soft Top,Blue,81000.0,29,Original & Highly Original
101000.0,200TDI 5-Speed,110 Hard Top,Beige,131.0,31,Restored-Modified
48000.0,NAS,90 Soft Top,Green,94200.0,28,Restored-Original
106000.0,200TDI 5-Speed,90 Hard Top,Blue,8200.0,32,Restored-Modified
60000.0,NAS,90 Wagon,White,88000.0,28,Restored-Original
53000.0,200TDI 5-Speed,90 Hard Top,Silver,10000062137.0,32,Restored-Modified
78500.0,300TDI 5-Speed,110 Wagon,Black,121167.345,27,Restored-Original
46200.0,standard,90 Wagon,White,0.0,28,Original & Highly Original
75000.0,NAS,90 Soft Top,White,76000.0,28,Original & Highly Original
63500.0,NAS,90 Soft Top,White,144000.0,28,Modified
49500.0,standard,90 Wagon,White,0.0,36,Modified
132000.0,"""Marlin"" Resto Mod",90 Soft Top,Blue,0.0,31,Restomod & Custom
49500.0,standard,90 Wagon,White,0.0,36,Modified
65000.0,200TDI 5-Speed,90 Hard Top,Gray,34175.0,32,Restored-Original
63500.0,300TDI 5-Speed,90 Soft Top,Blue,78000.0,27,Restored-Original
55500.0,200TDI,90 Hard Top,Red,101904.844,29,Restored-Original
85000.0,standard,110 Pickup - Double Cab,Silver,0.0,35,Restored-Modified
55000.0,standard,110 Wagon,White,72751.0,43,Restored-Modified
56000.0,NAS 5-Speed,90 Soft Top,Red,100000.0,29,Restored-Original
54000.0,NAS,90 Soft Top,Yellow,98315.0,28,Original & Highly Original
35000.0,200TDI 5-Speed,90 Hard Top,Green,163421.0,31,Restored-Original
159500.0,standard,90 Soft Top,Yellow,26706.0,26,Original & Highly Original
37551.0,200TDI 5-Speed,90 Hard Top,Orange/Copper,127000.0,31,Restored-Modified
48550.0,200TDI 5-Speed,90 Hard Top,Green,132973.0,32,Original & Highly Original
68000.0,5-Speed Custom,110 Wagon,Gray,139082.0,27,Restored-Modified
